feature,mean_abs_shap,horizon
NP2TOT,0.055516828,SEV_6M
SEVERITY,0.033433434,SEV_6M
NP3TOT,0.020096786,SEV_6M
NP1TOT,0.013088818,SEV_6M
MCATOT,0.011400244,SEV_6M
AGE,0.0077954954,SEV_6M
SEX,0.0,SEV_6M
NP2TOT,0.071159884,SEV_12M
SEVERITY,0.018740823,SEV_12M
NP3TOT,0.018397603,SEV_12M
NP1TOT,0.013911685,SEV_12M
MCATOT,0.010348136,SEV_12M
AGE,0.009857108,SEV_12M
SEX,0.0,SEV_12M
NP2TOT,0.07324515,SEV_24M
NP1TOT,0.023130465,SEV_24M
NP3TOT,0.022614606,SEV_24M
AGE,0.02132217,SEV_24M
MCATOT,0.0150256995,SEV_24M
SEVERITY,0.0067392946,SEV_24M
SEX,0.0,SEV_24M
